video_id,category,hour1_views,hour1_likes,hour1_comments,subscriber_count,avg_last10_views,duration_seconds,final_views
Nye5s-l_Hm4,Entertainment,364,19,0,17000,624.0,18,1064
-eo16zbLpfU,People & Blogs,811,50,8,37000,5272.5,70,7738
1XSK8N0fHbA,Howto & Style,262,5,0,64900,8388.5,21,9433
yf63SQpSTtw,People & Blogs,684,28,0,34500,776.8,23,1320
hXxL8KUEBXA,Science & Technology,737,7,0,44800,4321.7,9,3768
PgFadEW3VPM,People & Blogs,1214,43,6,29200,46981.4,64,19177
XpM27VlM9Hk,Howto & Style,195,48,6,26400,4040.6,413,2826
yjphZ4EMhh4,Entertainment,438,55,13,31900,29712.2,1223,7313
Mo-8pVwlMHs,People & Blogs,747,53,0,60300,190.1,173,4045
qFaabMtELv8,Howto & Style,641,17,0,14300,1280.1,59,1363
hClv7XGX4MQ,People & Blogs,950,0,2,17100,12081.0,49,19287
A-k1iErnWPs,People & Blogs,867,13,0,12100,1174.2,54,1521
Oj70M7WQP2k,People & Blogs,410,0,0,17400,1862.4,65,1401
5LREWBPfDGQ,People & Blogs,654,9,1,11000,884.4,60,2501
SiyJBK5ZJAs,People & Blogs,497,12,0,25900,20534.8,31,6270
VLko5oBWx70,Sports,2213,77,0,91900,8901.9,0,17272
8t826XvV7vw,Howto & Style,644,41,5,18000,61610.7,59,31785
yLgCet0JqJs,People & Blogs,927,0,0,10100,4864.4,41,2022
is1z5gd46DM,Entertainment,564,16,0,92400,1987.0,50,3757
Fw5vlcD7VCY,Autos & Vehicles,36,18,0,20200,2539.9,904,3362
Lu0nkNQaWZ4,Entertainment,4938,0,3,91900,24838.6,26,28047
1y22olRXAz0,Gaming,321,43,6,13600,59917.0,70,10151
3IKsRKbwYLk,People & Blogs,13228,887,19,26000,197220.3,58,191525
fWocmEI5C2s,People & Blogs,4950,287,1,87400,14164.1,49,71170
DBe2ej3Z1RY,People & Blogs,708,0,0,93700,1037.3,26,1048
TgwxzLExoyE,People & Blogs,4770,0,3,12100,11628.4,26,25349
djXlXsPJv_8,People & Blogs,9267,889,19,69100,71868.6,85,299681
R4zp7vulnE8,People & Blogs,270,18,1,23600,8669.7,75,4379
LrCJGE9BwTY,People & Blogs,402,52,2,15700,6105.2,63,6282
SETIbv51t2c,People & Blogs,285,0,0,14000,2389.1,60,1223
2sYOhnHfoMo,People & Blogs,687,23,0,18700,7536.1,90,3900
R7AVd3WhQ1I,People & Blogs,5190,735,24,65700,27362.1,69,40992
kPDoVEx00As,People & Blogs,889,10,0,13800,2119.1,35,13047
cCMvyt66eBA,Science & Technology,1473,12,0,44800,4587.6,9,16950
r-TdxOyO1Oo,People & Blogs,37,2,0,60400,40.0,63,262
ze21zDV-UB0,Music,38,7,4,45600,266.5,549,254
esL1F-Vlmdw,People & Blogs,1545,91,0,60400,40.0,74,20490
6zoWs6pUxpo,People & Blogs,5513,251,15,49300,31328.4,9,102866
cuO8vGJUNMo,People & Blogs,51,2,0,16300,3329.4,28,315
Me7FKiSKJlU,Gaming,296,3,0,61100,1669.1,25,1720
S_RrQvAmaCM,Comedy,4475,304,29,98600,45928.2,69,37451
NoyFTUV6Qzw,People & Blogs,620,109,9,26600,9660.7,1859,7580
q9jKDARnxQ8,People & Blogs,207,10,0,18000,960.9,42,950
EngvIo_TXPU,Music,330,42,0,22900,3899.2,23,1115
BHvJILZcwxM,News & Politics,216,30,9,17600,1400.0,510,2068
ixnE7hZCJZI,Gaming,523,69,2,29600,6151.4,99,12066
8duZ0zgkLVM,People & Blogs,3901,469,55,48500,16272.3,84,21313
kbH5I76Idbk,People & Blogs,1682,69,1,44400,7130.4,71,16573
IILe43FGZsY,People & Blogs,432,103,25,13300,3422.3,2073,8678
rNckbqLFbkg,People & Blogs,290,2,0,15800,2036.3,10,1239
QcVL63rFV8Y,People & Blogs,649,51,3,19900,1419.9,736,3006
-F9ElFr0xgU,Entertainment,303,38,5,11400,692.3,1142,1695
kb8G8CCUn4k,People & Blogs,263,15,2,16300,2469.6,48,673
etZSILS5_h8,Entertainment,633,20,0,18800,63903.5,25,23894
NhTAanDmjmI,Gaming,496,82,5,62400,6437.6,907,5821
E0Sy8WBZt7I,People & Blogs,406,16,6,16900,5661.9,724,4441
l4KkhTuSqwI,Unknown,463,86,1,17700,2473.6,0,3640
fcQboPj2pyk,Entertainment,5,1,0,43100,2782.7,1586,48
yrt_qDW5AUQ,People & Blogs,63,4,0,16300,2469.7,39,213
vjHF-L4mbKs,Gaming,365,19,11,69300,13559.2,852,5828
fcS1keSQGjo,People & Blogs,1332,303,40,42300,15134.5,763,17481
I7qp8ZrBwTE,People & Blogs,301,4,4,65100,82719.9,4191,122087
zZbsK0OSFq4,Entertainment,269,0,0,17800,101.9,29,347
70MI7NHYt84,Gaming,439,271,69,65600,20019.8,3335,9471
rxUxuJ9mkLo,Pets & Animals,102,37,8,58500,713.7,1096,995
U4PimTZHt_E,People & Blogs,2443,155,12,16600,8156.2,52,57556
99sn0-OIilI,People & Blogs,634,217,31,66200,10142.6,2751,8750
s9mKzbrVMlA,People & Blogs,3356,614,55,31900,17334.5,1227,19491
sKLNYHe_Yzw,Music,264,95,22,27500,1127.3,528,18849
aApTlTld5wU,People & Blogs,300,13,2,16300,941.3,31,656
W_vRdpUIaYc,People & Blogs,88,1,0,15500,6901.0,22,13927
